Autor	Tekst	Procesiran tekst
1	"padajte, braćo, plin'te u krvi! ostav'te sela nek gori plam! bacajte sami u oganj decu! stresite s sebe ropstvo i sram! ginite, braćo, junaci, ljudi! za propast vašu svet će da zna... nebo će plakat dugo i gorko, jer neće biti srbina... mi nesmo braća, mi srbi nesmo! ili vi neste nemanjin soj? ta da smo srbi, ta da smo ljudi - ta da smo braća - oh, bože moj!... ta zar bi tako s avale plave gledali ledno u ognjen čas? ta zar bi tako, oh, braćo draga, ta zar bi tako prezreli vas?... prezrite bratstva pokor i kletvu, što nebo dade, pogaz'te vi! ta nije l' grešno, nije li grozno: krv dece vaše gledamo mi!... a gde je pomoć il' suza bratska? il' ""juriš, rode, za brata svog!""?... u veljoj bedi, smrti i krvi, danas vas, same, ostavlja bog!... al' opet, grešan, grešno sam prevo ranjeno srce naroda mog! ta srbin kipi, kipi i čeka - al' ne da đavo... il' ne da bog!"	['padati', 'braća', 'plinuti', 'krv', 'ostaviti', 'selo', 'nek', 'goreti', 'plam', 'bacati', 'sam', 'oganj', 'dete', 'stresti', 'ropstvo', 'sram', 'ginuti', 'braća', 'junak', 'čovek', 'propast', 'vaš', 'svet', 'znati', 'nebo', 'plakat', 'dugo', 'gorko', 'jer', 'srbin', 'braća', 'Srbin', 'nešti', 'ili', 'nešti', 'Nemanjin', 'soj', 'Srbin', 'čovek', 'braća', 'oh', 'Bog', '!...', 'zar', 'tako', 'avala', 'plav', 'gledati', 'ledno', 'ognjen', 'čas', 'zar', 'tako', 'oh', 'braća', 'drag', 'zar', 'tako', 'prezreti', '?...', 'prezreti', 'bratstvo', 'pokor', 'kletva', 'nebo', 'dati', 'pogaztiti', 'l', 'grešan', 'grozan', 'krv', 'dete', 'vaš', 'gledati', '!...', 'gde', 'pomoć', 'ili', 'suza', 'bratski', 'ili', 'juriš', 'roda', 'brat', 'svoj', '?...', 'velj', 'beda', 'smrt', 'krv', 'danas', 'sam', 'ostavljati', 'bog', '!...', 'opet', 'grešan', 'grešno', 'prevo', 'raniti', 'srce', 'narod', 'srbin', 'kipeti', 'kipeti', 'čekati', 'đavo', 'ili', 'bog']
1	mudraci su prinosili dara: smirnu, zlato, caru judejskome; i ja darak caru nosim svome: evo primi — pesmu iz nedara! kod tebe se meni raj otvara, ti si, jedna, draga srcu mome pa nek sudba gromke prska grome, neka oblak moje nebo šara: ti s' osmehneš — meni sunce sine; ti prozboriš — svete su istine; ti gde stojiš — bog je sa visine! pa našto mi strah srcu da svojim, zašto da se preke zgode bojim, kad, spram tebe, pored boga stojim?	['mudrac', 'prinositi', 'dar', 'Smirna', 'zlato', 'car', 'judejski', 'darak', 'car', 'nositi', 'svoj', 'evo', 'primiti', 'pesma', 'nedar', 'kod', 'raj', 'otvarati', 'jedan', 'drag', 'srce', 'nek', 'sudba', 'gromki', 'prskati', 'grom', 'neka', 'oblak', 'nebo', 'šara', 'osmehnuti', 'sunce', 'sin', 'prozboriti', 'svet', 'istina', 'gde', 'stajati', 'bog', 'visina', 'našto', 'strah', 'srce', 'svoj', 'zašto', 'prek', 'zgoda', 'bojati', 'spram', 'pored', 'bog', 'stajati']
1	mnogi me je dosad zapitkiv’o: sa čega sam srca obolela? sad nek znade moja družba cela: rana j’ ljubav, što sam od njih skriv’o. tebe ljubim, čelo ponošljivo, ti si rane srcu mi nanela. pa što si se od mene ponela? što li gromom biješ srce živo? grom je riječ, kojom zboriš, hola, da me nećeš nikada ljubiti, k’o gromovnik sa svoga prestola. verujem ti kao tvorcu svome; veruj i ti — da ću te ljubiti, kapi dok je srcu bolanome	['mnogi', 'dosad', 'zapitkivati', 'srce', 'oboleti', 'sad', 'nek', 'znati', 'družba', 'cel', 'rana', 'j', 'ljubav', 'oni', 'skrivati', 'o.', 'ljubiti', 'čelo', 'ponošljivo', 'ran', 'srce', 'naneti', 'poneti', 'grom', 'srce', 'živ', 'grom', 'reč', 'koji', 'zboriti', 'hol', 'nikada', 'ljubiti', 'k', 'gromovnik', 'svoj', 'prestol', 'verovati', 'tvorac', 'svoj', 'verovati', 'ljubiti', 'kap', 'dok', 'srce', 'bolan']
1	ja sam stena, o koju se zloba mori, svetska čuda i pokori. mnogi težak oblak, jeka, krš gromova, oganj, kletva i sto čuda neba, zemlje, razbilo se o meneka... usamljena na sredini morske pene, cepam munje i gromove; a talase rikajuće sa hrapavim kamom grudi u kapljice sitne mrvim. u noćima smrti strasne na rame mi ptice sleću i zloslutnim grakću glasom: pakost, zlobu i nesreću - što zlokobih dva'est osam stojim leta, prezirući, smejući se pakostima bezbožnika; hladna, nema za radosti i za zlosti, nepomična, neosetna, u kojojzi otrov-srce, umorena ljuta zmija, na uzglavku - večnom mraku - na kamenu od uvreda, razmrskana, ćuti, spava... ja sam stena... al' krvava!... ispirana gnevom, jedom, zaljuljana mukom, bedom!... smrt mi grozna, nemilosna, sa pesnicom koštunjavom, zlokobnicom oka svoga, umiruća časom preti... čekaj, sele! još ne želim ja umreti! dok se zemlja ne zatrese, burno more ne zajoše, ne pocrni sjaj zvezdani, i meseca svetlost bleda ne zavije u oblaku božje pravde i istine, sjajne zore i večeri zrak crveni ne proturi u krvave ljute zmije, kojima će duh večiti po jauku, bolu, pisci, nesrećnoga šibat sveta - donde - donde!... uvređeno srce moje, u večitom bolu, gnevu, smeha se je zaželelo... - ha! il' možda, neće doći strašnog suda glas užasni? možda nikad neće moći gorkoj muci i jauku nasmejat se srce moje?... idi!... idi!... ne diraj me mraznom rukom, da preživim večnost tužnu na vrletnom mome visu, gde me čuda i otrovi zlobnog sveta uzvisiše - al' otklen ću sam, po volji, stojat... pasti... ili večno zla i podlost prezirati lednim okom gorskog lava... ja sam stena, al' krvava!...	"['stena', 'koji', 'zloba', 'moriti', 'svetski', 'čudo', 'pokoriti', 'mnogi', 'težak', 'oblak', 'jeka', 'krš', 'grom', 'oganj', 'kletva', 'sto', 'čudo', 'nebo', 'zemlja', 'razbiti', 'meneka', 'usamljen', 'sredina', 'morski', 'pena', 'cepati', 'munja', 'grom', 'talas', 'rikajući', 'hrapav', 'kam', 'grudi', 'kapljica', 'sitan', 'mrviti', 'noć', 'smrt', 'strastan', 'rame', 'ptica', 'sletati', 'zloslutan', 'graktati', 'glas', 'pakost', 'zloba', 'nesreća', 'zlokobiti', ""dva'est"", 'osam', 'stajati', 'let', 'prezirati', 'smejati', 'pakost', 'bezbožnik', 'hladan', 'nemati', 'radost', 'zlost', 'nepomičan', 'neosetan', 'kojijaz', 'otrov-srce', 'umoriti', 'ljut', 'zmija', 'uzglavak', 'večan', 'mrak', 'kamen', 'uvreda', 'razmrskati', 'ćutati', 'spavati', 'stena', 'krvav', '!...', 'ispirati', 'gnev', 'jeda', 'zaljuljati', 'muka', 'beda', '!...', 'smrt', 'grozan', 'nemilosan', 'pesnica', 'koštunjav', 'zlokobnica', 'oko', 'svoj', 'umirući', 'čas', 'pretiti', 'čekati', 'seliti', 'još', 'želeti', 'umreti', 'dok', 'zemlja', 'zatresti', 'buran', 'more', 'zajositi', 'pocrneti', 'sjaj', 'zvezdan', 'mesec', 'svetlost', 'bled', 'zaviti', 'oblak', 'božji', 'pravda', 'istina', 'sjajan', 'zora', 'večer', 'zrak', 'crven', 'proturiti', 'krvav', 'ljut', 'zmija', 'koji', 'duh', 'večit', 'jauk', 'bol', 'pisac', 'nesrećan', 'šibat', 'svet', 'Donda', 'Donda', '!...', 'uvrediti', 'srce', 'večit', 'bol', 'gnev', 'smeh', 'zaželeti', 'ha', 'ili', 'možda', 'doći', 'strašan', 'sud', 'glas', 'užasan', 'možda', 'nikad', 'moći', 'gorak', 'muka', 'jauk', 'nasmejat', 'srce', '?...', 'ići', '!...', 'ići', '!...', 'dirati', 'mrazan', 'ruka', 'preživeti', 'večnost', 'tužan', 'vrletan', 'vis', 'gde', 'čudo', 'otrov', 'zloban', 'svet', 'uzvisiti', 'otklen', 'volja', 'stojat', 'pasti', 'ili', 'večno', 'zlo', 'podlost', 'prezirati', 'ledan', 'oka', 'gorski', 'lav', 'stena', 'krvav', '!...']"
1	kroz ponoć nemu i gusto granje vidi se zvezda tiho treptanje, čuje se srca silno kucanje; - o, lakše samo kroz gusto granje! tu blizu potok daljinu para, tu se na cveću cveće odmara, tu mene čeka ašikovanje; - o, lakše samo kroz gusto granje! pašću, umreću, duša mi gore, rastopiće me do bele zore, k'o grudu snega vrelo sunčanje; - o, lakše, lakše kroz gusto granje!	['kroz', 'ponoć', 'nem', 'gust', 'granje', 'videti', 'zvezda', 'tih', 'treptanje', 'čuti', 'srce', 'silan', 'kucanje', 'lako', 'samo', 'kroz', 'gust', 'granje', 'blizu', 'potok', 'daljina', 'para', 'cveće', 'cveće', 'odmarati', 'čekati', 'ašikovanje', 'lako', 'samo', 'kroz', 'gust', 'granje', 'pasti', 'umreti', 'duša', 'zlo', 'rastopiti', 'beo', 'zora', 'gruda', 'sneg', 'vreo', 'sunčanje', 'lako', 'lako', 'kroz', 'gust', 'granje']
1	„vina, milo!“ — orilo se, dok je mila ovde bila. sad se mila izgubila: tuđe ruke vino nose. ana toči, ana služi, al' za milom srce tuži. nema nama mile više! ono malo veselosti, što imaše dobri gosti, to kod mile ostaviše. ana toči, ana služi, sl' za milom srce tuži. iz milinih ruku mali', ma se rast'o bela sveta mesto čaše od bermeta, otrova bi progutali. ana toči, ana služi, al' za milom srce tuži. ko da igra? ko da peva? ko da žedni? ko da pije? ko li brigu da razbije? nesta mile, nesta ćeva! ana toči, ana služi, al' za milom srce tuži.	['vino', 'Milo', 'oriti', 'dok', 'mio', 'ovde', 'sad', 'mio', 'izgubiti', 'tuđ', 'ruka', 'vino', 'nositi', 'Ana', 'točiti', 'Ana', 'služiti', 'mio', 'srce', 'tužiti', 'nemati', 'Mile', 'mnogo', 'malo', 'veselost', 'imati', 'dobar', 'gost', 'kod', 'mio', 'ostaviti', 'Ana', 'točiti', 'Ana', 'služiti', 'sl.', 'mio', 'srce', 'tužiti', 'milin', 'ruka', 'mali', 'ma', 'rastio', 'Bel', 'svet', 'mesto', 'čaša', 'bermet', 'otrov', 'progutati', 'Ana', 'točiti', 'Ana', 'služiti', 'mio', 'srce', 'tužiti', 'igrati', 'pevati', 'žedan', 'piti', 'briga', 'razbiti', 'nestati', 'Mile', 'nestati', 'ćeva', 'Ana', 'točiti', 'Ana', 'služiti', 'mio', 'srce', 'tužiti']
1	jeste li mi rod, siročići mali? il’ su i vas, možda, jadi otrovali? ili vas je, slabe, progonio svet — pa dođoste samo da, kad ljude znamo, da se i mi malo bolje upoznamo, u dvopevu tužnom pevajući set?... mi smo male, al’ smo znale da nas neće niko hteti, niko smeti tako voleti, kao ti — ćiju ći! moje tice lepe, jedini drugari, u novome stanu poznanici stari, srce vam je dobro, pesma vam je med; ali moje srce, ali moje grudi ledenom su zlobom razbijali ljudi, pa se, mesto srca, uhvatio led. s belom bulom, sa zumbulom, šaren-rajem, rajskim majem, cvećem, mirom, sa lepirom, letimo ti mi srca topiti — ćiju ći! moje tice male, jadni sirotani! prošli su me davno moji lepi dani — uvelo je cveće, odbeg'o me maj; a na duši osta, kô skrhana biljka, il’ kô tužan miris uvelog bosiljka, jedna teška rana, težak uzdisaj.	['rod', 'siročić', 'mali', 'ili', 'možda', 'jad', 'otrovati', 'ili', 'slab', 'progoniti', 'svet', 'doći', 'samo', 'čovek', 'znati', 'malo', 'dobro', 'upoznati', 'dvopev', 'tužan', 'pevati', 'set', '?...', 'mali', 'znati', 'nitko', 'nitko', 'smeti', 'tako', 'voleti', 'ćiju', 'ći', 'ticati', 'lep', 'jedini', 'drugar', 'nov', 'stan', 'poznanik', 'star', 'srce', 'dobar', 'pesma', 'med', 'srce', 'grudi', 'leden', 'zloba', 'razbijati', 'čovek', 'mesto', 'srce', 'uhvatiti', 'led', 'beo', 'bula', 'zumbul', 'šaren-raj', 'rajski', 'maj', 'cveće', 'mir', 'lepir', 'letiti', 'srce', 'topiti', 'ćiju', 'ći', 'ticati', 'mali', 'jadan', 'sirotan', 'proći', 'davno', 'lep', 'dan', 'uvesti', 'cveće', 'odbegati', 'maj', 'duša', 'ostati', 'kô', 'skrhati', 'biljka', 'ili', 'kô', 'tužan', 'miris', 'uveo', 'bosiljak', 'jedan', 'težak', 'rana', 'težak', 'uzdisaj']
1	"i ovaj kamen zemlje srbije, što preteć suncu dere kroz oblak, sumornog čela mračnim borama, o vekovečnosti priča dalekoj, pokazujući nemom mimikom obraza svoga brazde duboke. vekova tavnih to su tragovi, te crne bore, mračne pećine; a kamen ovaj, kô piramida što se iz praha diže u nebo, kostiju kršnih to je gomila što su u borbi protiv dušmana dedovi tvoji voljno slagali, lepeći krvlju srca rođenog mišica svojih kosti slomljene, — da unucima spreme busiju, oklen će nekad smelo preziruć dušmana čekat čete grabljive. i samo dotle, do tog kamena, do tog bedema, nogom ćeš stupit možda, poganom. drzneš li dalje? . . . čućeš gromove kako tišinu zemlje slobodne sa grmljavinom strašnom kidaju; razumećeš ih srcem strašljivim šta ti sa smelim glasom govore, pa ćeš o stenja tvrdom kamenu brijane glave teme ćelavo u zanosnome strahu lupati . . . al' jedan izraz, jednu misao, čućeš u borbe strašnoj lomljavi: ""otadžbina je ovo srbina!"" . . ."	['ovaj', 'kamen', 'zemlja', 'srbija', 'preteći', 'sunce', 'derati', 'kroz', 'oblak', 'sumoran', 'čelo', 'mračan', 'bora', 'vekovečnost', 'priča', 'dalek', 'pokazivati', 'nem', 'mimika', 'obraz', 'svoj', 'brazda', 'dubok', 'vek', 'tavan', 'trag', 'te', 'crn', 'bora', 'mračan', 'pećina', 'kamen', 'ovaj', 'kô', 'piramida', 'prah', 'dizati', 'nebo', 'kost', 'kršan', 'gomila', 'borba', 'protiv', 'dušman', 'ded', 'voljno', 'slagati', 'lepiti', 'krv', 'srce', 'roditi', 'mišica', 'svoj', 'kost', 'slomiti', 'unuk', 'spremiti', 'busija', 'Oklen', 'nekad', 'smeo', 'preziruć', 'dušman', 'čekat', 'četa', 'grabljiv', 'samo', 'dotle', 'kamen', 'bedem', 'noga', 'stupit', 'možda', 'pogan', 'drznuti', 'daleko', 'čuti', 'grom', 'kako', 'tišina', 'zemlja', 'slobodan', 'grmljavina', 'strašan', 'kidati', 'razumeti', 'oni', 'srce', 'strašljiv', 'smeo', 'glas', 'govoriti', 'stenje', 'tvrd', 'kamen', 'brijati', 'glava', 'tema', 'ćelavo', 'zanosan', 'strah', 'lupati', 'jedan', 'izraz', 'jedan', 'misao', 'čuti', 'borba', 'strašan', 'lomljava', 'otadžbina', 'ovaj', 'srbin']
2	zašto se meni javljaš tajno kada mi duša tiho sniva? i zašto tvoje oko sjajno golemu tugu i jad skriva? zašto me kroz noć staneš zvati, i šta ti jadno srce ište? ta ja ti nemam ništa dati, o, ja sam pusto pepelište. sve što sam imo ja sam dao, nevjero hladna ljubavi moje, - sve što sam svojim blagom zvao: mladost i oganj duše svoje. pa zašto meni stupaš snova, šta tražiš ovdje u mrtvaca? hladna je, hladna ruka ova što nekad na te ruže baca. pusti me! pusti i ne mori! nek sam ovako trajem dane, sve dok mi srce ne izgori, sve dok mi duša ne izda'ne.	['zašto', 'javljati', 'tajno', 'kada', 'duša', 'tiho', 'snivati', 'zašto', 'oko', 'sjajno', 'golem', 'tuga', 'jad', 'skrivati', 'zašto', 'kroz', 'noć', 'stati', 'zvati', 'jadan', 'srce', 'iskati', 'nemati', 'ništa', 'dati', 'pust', 'pepelište', 'IMO', 'dati', 'nevjera', 'hladan', 'ljubav', 'svoj', 'blag', 'zvati', 'mladost', 'oganj', 'duša', 'svoj', 'zašto', 'stupati', 'san', 'tražiti', 'ovde', 'mrtvac', 'hladan', 'hladan', 'ruka', 'ovaj', 'nekad', 'ruža', 'bacati', 'pustiti', 'pustiti', 'moriti', 'nek', 'ovako', 'trajati', 'dan', 'sve', 'dok', 'srce', 'izgoreti', 'sve', 'dok', 'duša', 'izdasniti']
2	sinoć, kad se vratih iz topla hamama, prođoh pokraj bašte staroga imama; kad tamo, u bašti, u hladu jasmina, s ibrikom u ruci stajaše emina. ja kakva je, pusta! tako mi imana, stid je ne bi bilo da je kod sultana! pa još kad se šeće i plećima kreće... - ni hodžin mi zapis više pomoć neće!... ja joj nazvah selam. al' moga mi dina, ne šće ni da čuje lijepa emina, no u srebren ibrik zahitila vode pa po bašti đule zalivati ode; s grana vjetar duhnu pa niz pleći puste rasplete joj one pletenice guste, zamirisa kosa ko zumbuli plavi, a meni se krenu bururet u glavi! malo ne posrnuh, mojega mi dina, no meni ne dođe lijepa emina. samo me je jednom pogledala mrko, niti haje, alčak, što za njome crko'!...	['sinoć', 'vratiti', 'topao', 'hama', 'proći', 'pokraj', 'bašta', 'star', 'imam', 'tamo', 'bašta', 'hlad', 'jasmin', 'ibrik', 'ruka', 'stajati', 'Emina', 'kakav', 'pust', 'tako', 'imati', 'stid', 'kod', 'Sultan', 'još', 'šetati', 'pleće', 'kretati', 'hodžin', 'zapis', 'mnogo', 'pomoć', '!...', 'nazvati', 'selam', 'dina', 'šći', 'čuti', 'lep', 'Emina', 'no', 'srebren', 'ibrik', 'zahititi', 'voda', 'bašta', 'Đula', 'zalivati', 'otići', 'grana', 'vetar', 'duhnuti', 'niz', 'pleći', 'pustiti', 'rasplesti', 'onaj', 'pletenica', 'gust', 'zamirisati', 'kosa', 'zumbul', 'plav', 'krenuti', 'bururet', 'glava', 'malo', 'posrnuti', 'dina', 'no', 'doći', 'lep', 'Emina', 'samo', 'jednom', 'pogledati', 'mrko', 'niti', 'hajati', 'alčak', 'crći', '!...']
