RecordId	Clusternum
1	1
2	16
3	2
4	21
5	1
6	17
7	7
8	11
9	1
10	8
11	18
12	13
13	20
14	20
15	17
16	8
17	20
18	22
19	6
20	11
21	2
22	16
23	8
24	17
25	20
26	20
27	20
28	17
29	18
30	9
31	8
32	1
33	18
34	19
35	8
36	20
37	3
38	2
39	12
40	2
41	22
42	5
43	8
44	16
45	20
46	16
47	16
48	18
49	2
50	20
51	20
52	22
53	16
54	1
55	9
56	9
57	2
58	2
59	21
60	1
61	2
62	1
63	12
64	1
65	16
66	18
67	1
68	15
69	2
70	1
71	23
72	23
73	13
74	18
75	10
76	6
77	2
78	19
79	23
80	6
81	22
82	20
83	17
84	3
85	12
86	3
87	17
88	22
89	18
90	11
91	16
92	14
93	12
94	4
95	22
96	4
97	1
98	22
99	12
100	21
101	1
102	22
103	6
104	6
105	1
106	6
107	19
108	22
109	14
110	1
111	17
112	9
113	13
114	7
115	5
116	21
117	21
118	5
119	3
120	8
121	2
122	17
123	2
124	2
125	16
126	22
127	6
128	13
129	12
130	13
131	22
132	15
133	5
134	7
135	8
136	10
137	1
138	7
