RecordId	Clusternum
65	0
49	0
3	0
38	0
55	0
58	0
124	0
61	0
15	0
1	1
98	1
131	1
100	1
102	1
41	1
108	1
81	1
52	1
20	1
21	1
88	1
126	1
71	2
79	2
113	3
130	3
136	3
122	3
75	3
12	3
128	3
33	4
66	4
133	4
72	4
40	4
74	4
42	4
138	4
77	4
48	4
115	4
118	4
89	4
29	4
63	4
35	5
23	5
43	5
16	5
129	6
97	6
99	6
67	6
101	6
5	6
39	6
137	6
9	6
105	6
110	6
114	6
54	6
87	6
121	6
60	6
93	6
62	6
32	6
64	6
134	7
7	7
18	8
95	8
94	9
96	9
69	10
8	10
90	10
11	10
56	11
24	11
57	11
30	12
112	12
92	13
109	13
117	14
85	14
2	15
135	15
73	15
44	15
14	15
46	15
47	15
53	15
22	15
120	15
123	15
91	15
125	15
83	16
6	16
28	16
111	16
10	17
31	17
17	18
82	18
50	18
51	18
36	18
25	18
26	18
27	18
13	18
45	18
19	19
103	19
104	19
106	19
76	19
78	19
127	19
80	19
34	20
107	20
116	21
4	21
59	21
132	22
84	22
68	22
37	22
86	22
70	22
119	22
